t,tc_l2_E,tc_l2_I,tc_ma_E,tc_ma_I,cos_E,cos_I
81,0.00010673309589037672,5.4671028919983655e-05,6.057373866497073e-06,6.218438102223445e-06,0.010950803756713867,-0.005287241656333208
82,0.0001007402315735817,5.1718303438974544e-05,5.712404345104005e-06,5.884413440071512e-06,0.009239277802407742,-3.853463567793369e-05
83,0.0001030488929245621,5.290592525852844e-05,5.8472942328080535e-06,6.018899966875324e-06,0.008051473647356033,-0.005284939892590046
84,0.0001129045122070238,5.796494224341586e-05,6.409205980162369e-06,6.609112006117357e-06,0.0032682805322110653,-0.009645199403166771
85,0.00012731355673167855,6.534304702654481e-05,7.233938958961517e-06,7.456293587893015e-06,-0.0007721015717834234,-0.014954159036278725
86,0.000136037910124287,6.996035517659038e-05,7.733680831734091e-06,7.97876145952614e-06,-0.0031452320981770754,-0.018357302993535995
87,0.000139093172037974,7.176073268055916e-05,7.9110259321169e-06,8.183631507563405e-06,-0.0033460117410868406,-0.014385582879185677
88,0.00013330300862435251,6.888016650918871e-05,7.585211733385222e-06,7.859882316552103e-06,-0.0009930550586432219,-0.011467820033431053
89,0.0001238500844920054,6.390903581632301e-05,7.0370620051107835e-06,7.292608643183485e-06,0.00383695843629539,-0.01228263322263956
90,0.00011641873425105587,5.994740786263719e-05,6.606575880141463e-06,6.829657195339678e-06,0.007133963983505964,-0.016175875440239906
91,0.00011016552161891013,5.665167554980144e-05,6.248118097573752e-06,6.451366061810404e-06,0.008575480431318283,-0.01453014649450779
92,0.00010352181561756879,5.306990351527929e-05,5.866721949132625e-06,6.0428701544879004e-06,0.008857435546815395,-0.011374522000551224
93,0.0001023782606353052,5.2279145165812224e-05,5.801960014650831e-06,5.9582257563306484e-06,0.009398178197443485,-0.015314028598368168
94,0.0001118223590310663,5.723674257751554e-05,6.3437814787903335e-06,6.532761744892923e-06,0.005922761745750904,-0.01749706082046032
95,0.00012362832785584033,6.351445335894823e-05,7.025909781077644e-06,7.257570359797683e-06,-0.0003510345995891839,-0.017784172669053078
96,0.00013586801651399583,7.001020276220515e-05,7.728800483164378e-06,8.005587005754933e-06,-0.003287209663540125,-0.017212865874171257
97,0.00013943889643996954,7.196100341388956e-05,7.93507479102118e-06,8.227262696891557e-06,-0.0039177462458610535,-0.01760179176926613
98,0.0001329735096078366,6.874820246594027e-05,7.563130566268228e-06,7.848423592804465e-06,0.00040900090243667364,-0.015579737722873688
99,0.0001248644693987444,6.417005351977423e-05,7.1010431383911055e-06,7.3202822932216804e-06,0.00485885189846158,-0.01607849821448326
100,0.00011553744843695313,5.926284575252794e-05,6.573272457899293e-06,6.742712685081642e-06,0.007629713974893093,-0.015317643992602825
101,0.00010848172678379342,5.574739770963788e-05,6.171724635350984e-06,6.332244993245695e-06,0.00857167411595583,-0.011352330446243286
102,0.00010444523650221527,5.351591607904993e-05,5.938578397035599e-06,6.085293080104748e-06,0.007696973159909248,-0.007892713882029057
